topic,rank,doc
8,2,"😵 North VI Power failure in Nanaimo near North of CEDAR HEIGHTS CRS, South of BERRY POINT RD. Customers affected: 2317. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage"
8,3,😵 South VI Power failure in Victoria near 300 block WATERFRONT CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage
9,1,speaking to the on 3 May 2022 about the 's response to #CRSV early-warning signals and allegations in #Ukraine 🇺🇦🇺🇳
9,2,"🚨GSF &amp; its partners call on #Ukraine to: ⚠️Pass a presidential decree that recognises #CRSV ⚠️ Establish a comprehensive &amp; urgent #Reparations programme, ⚠️ Create a victims' registry &amp; a reparations fund. The time to act is NOW‼️ Learn more➡️"
9,3,"Fantastic #HRC50 event for the launch of our study on #Reparations for #CRSV survivors in #Ukraine! Thank you , EUCCI, Blue Bird and Truth Hounds for your inspiring work #reparationsnow"
10,1,#Vikram takes a flying start at the TN Box office.. Day 1 Gross - ₹ 23.50 Crs.. Career Best opening for #Ulaganayagan in TN.. 🔥
10,2,Top 5 Opening Day Gross Collection at Kerala Box Office - #Odiyan - ₹7.22 Crs. #Marakkar - ₹6.60 Crs. #Lucifer - ₹6.3 Crs. #Sarkar - ₹6.2 Crs. #BheeshmaParvam - ₹5.9 Crs. As per the current trends #Beast &amp; #KGFChapter2 will easily find a place in Top 5 💥💥💥
10,3,Earth shattering OPENING for #Vikram all over #Kerala... OPENING DAY GROSS COLLECTION will be 5+ Crs - 101% sure 👏🔥 First time a Non-Vijay Tamil movie crossing 5 Crs+ gross mark in a single day from Kerala 🔥
11,1,Stop going along with criminals! It’s illegal to use a legal name. Read and share the #BCCRSS #crss #true #truth #law #depression #BETHESUN_MANILA #KaranJohar #londonbridgeisdown #WeLoveYouWooyoung #MondayMotivation #ThanksgivingCanada #Ukraine #CHEN
11,2,Your crimes are ongoing! It’s illegal to use a legal name. Read and share the #BCCRSS or continue to go along with slavery. #crss #true #truth #law #god #KambososHaney #JurassicWorldDominion #Stopinsulting_ProphetMuhammad #DONBELLEAsapComeback #Ukraine️
11,3,It’s illegal to use a legal name. Read and share the #BCCRSS 👈🏼 #crss #true #truth #law #Defamation #MarkTuan #Metaverse #saveITindustry #dcfc #DeFi #dalle2 #NupurSharma #UkraineRussiaWar #blackchully #furryart #HEESEUNG #furry #INDvSA #DuaZehra #Alito
12,1,"Samaritan's Purse is operating an emergency field hospital, medical clinics, and distributing relief items through church partners in #Ukraine and #Moldova. Read more here!"
12,2,🇺🇸 Samaritan's Purse ✝️ 1968 DC-8 N782SP over the North Sea... #NLspot NSP8 from homebase Greensboro for mission in #Ukraine
12,3,Samaritan's Purse has deployed an Emergency Field Hospital to #Ukraine. #RussianInvasion
13,1,Join the CRS-25 Virtual NASA Social to Experience the Next SpaceX Space Station Cargo Launch #News
13,2,SpaceX CRS-25 to Launch Stem Cells From Cedars-Sinai Scientists to Space #News #cargoDragon #CedarsSinai #CliveSvendsen #CRS25
13,3,Launch Spotlight: CRS-25 – SpaceX set to launch the 25th space station resupply mission #News
14,1,"Crs of cruel geans Ppl,Crls in Muslims/Islam Relgn. ✍️How to save d #World &amp; #Bharath from Islam cruel geans Ppl,Crls. Crs of sins /crimes (14c-18c-22)...Q?🙏 A:✍️IRs,Sur,Resrch say👇 ✍️A Great #War is nec on Crs of Islam/Muslims Crls,Ter &amp; finish them+their Supporters. #true"
14,2,"War news ....Ppl Q?🙏 #India is wasting time . Wasting #war skills,&amp; divine weapons,etc all . Pak,etc Ghosts, Indain ghosts did crs of Sins / crimes since 12c-14-28c-23 ,&amp; Spoiied #India+#World. War nec to finish Crs of Pak,etc ghosts &amp; Ind ghosts+supporters fr 🌍 peace."
14,3,"World against #Muslims systems. Must Ans. Had Pravakta said/#Quran ! A:✍️1) Why Muslims Crls,Ter, etc r killing Labour,Poltcns, Empl,Other Relgn Ppl since 14 c to 22. 2)Why max 🌍 Ppl dislike Muslims syst,#Islam Ppl. 3) Why Mil,Crs &amp; Crs of crimes done,A-Z?...Q?🙏#UN,#UAE, #USA"
