Topic,Count,Name,Representation,Representative_Docs
9,1105,9_donate_unicef_donated_unicef ukraine,"['donate', 'unicef', 'donated', 'unicef ukraine', 'donations', 'donation', 'proceeds', 'charity', 'donating', 'raised']","['I just showed my support for UNICEF and the children of #ukraine. Check out UNICEF USA to learn what they are doing, and how you can help too.', 'I just showed my support for UNICEF and the children in #Ukraine. Check out UNICEF USA to learn what they are doing, and how you can help too.', 'This Sunday if you can, please donate what you can to help the children of #Ukraine I just showed my support for UNICEF and the children. Check out UNICEF USA to learn what they are doing, and how you can help too.']"
10,1096,10_china_ukraine china_xi_chinese,"['china', 'ukraine china', 'xi', 'chinese', 'zhang jun', 'zhang', 'jun', 'china permanent', 'russia china', 'wang']","['China’s Permanent Representative to the #UN, Zhang Jun, welcomed the draft resolution to ease the Ukraine crisis, adding that “All nations should work to foster peace and stop escalating the conflict.” #RussiaUkraineWar #RussiaUkraineConflict #Russia #Ukraine #China', ""#Latest China's Permanent Representative to the #UN Zhang Jun said the top priority is to ease the situation in #Ukraine on the ground and prevent it from escalating. #China calls on the int'l community to have a political settlement. #Ukraine #Russia"", '“In his meeting w #Ukrainian FM , #Wang Yi said that President #Xi Jinping has pointed out that all countries deserve respect for their sovereignty and territorial integrity, the purposes and principles of the #UN Charter should be observed.”']"
11,1035,11_civilians killed_civilian casualties_casualties_killed ukraine,"['civilians killed', 'civilian casualties', 'casualties', 'killed ukraine', 'injured', 'killed', 'higher', 'recorded', 'civilian', 'commissioner human']","[""The Office of the UN High Commissioner for Human Rights (OHCHR) has recorded 17,831 civilian casualties in Ukraine as of December 26--6,884 killed and 10,947 injured--since the beginning of Russia's invasion of Ukraine. #Russia #Ukraine #NewsUpdates"", '❗️Since the start of the full-scale Russian invasion on February 24, 2022, the Office of the UN High Commissioner for Human Rights has recorded 21,965 civilian casualties in #Ukraine, including 8,231 killed and 13,734 injured.', 'More than 4,000 civilians killed in Ukraine : UN - #News']"
12,962,12_california mexico_mexico canada_mexico_canada repmtg,"['california mexico', 'mexico canada', 'mexico', 'canada repmtg', 'nyse california', 'wsj nyse', 'nyse', 'nato wsj', 'wsj', 'california']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert Be back later...', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada Move It On Over via', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert No your not.']"
13,922,13_新闻_asean_asia europe_europe africa,"['新闻', 'asean', 'asia europe', 'europe africa', '中国', 'middleeast asean', 'news world', '新闻 news', 'middleeast', 'asia']","['3)Including domestic, any unofficial and third-party agency testing is prohibited. #中国 #China #Russia #新闻 #NEWS #World #UN #Asia #Europe #Africa #SouthAfrica #MiddleEast #ASEAN #International', '5)I once said that our new Chinese rocket once hovered over the United States for more than six hours #中国 #China #Russia #Ukraine #NEWS #新闻 #World #UN #Asia #Europe #Africa #MiddleEast #ASEAN #International', '6)and the United States used all the technology to be unaware that it was on its own head. #中国 #China #Russia #Ukraine #NEWS #新闻 #World #UN #Asia #Europe #Africa #MiddleEast #ASEAN #International']"
14,917,14_dnipro_missile_vinnytsia_russian missile,"['dnipro', 'missile', 'vinnytsia', 'russian missile', 'residential', 'mall', 'kharkiv', 'dnipropetrovsk', 'kremenchuk', 'shopping']","['The russians fired missiles at the ""Chaplyne"" railway station in the Dnipropetrovsk region - at least 15 people were killed and about 50 were injured, Volodymyr Zelenskyi said at a meeting of the UN Security Council. #RussiaIsATerroristState #RussianWarCrimes #visabanforrussians', '⚡️Zelensky: Russian troops hit a railway station in the Dnipropetrovsk region with missiles. At least 15 people were killed, and about 50 others were injured, President Volodymyr Zelenskyi said during his speech before the UN Security Council. #RussiaIsATerroristState', '⚡️ President #Zelensky at UN security council reported that about 15 people killed, 50 wounded as result of #Russian missile strike at Chaplyne railway station in Dnipropetrovsk region. #RussiaUkraineWar']"
15,897,15_refugees humanity_humanity families_sanctions refugees_crimesagainsthumanity warcrimes,"['refugees humanity', 'humanity families', 'sanctions refugees', 'crimesagainsthumanity warcrimes', 'murder crimesagainsthumanity', 'uk diplomacy', 'belarus war', 'politics sanctions', 'diplomacy politics', 'belarus']","[""Ukraine War - What's been happening? via #Ukraine #Russia #Belarus #war #NATO #EU #UK #US #UN #Diplomacy #Politics #sanctions #refugees #humanity #families #children #murder #CrimesAgainstHumanity #WarCrimes #ICC"", ""Russia's war in Ukraine #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN"", ""Russia's war in Ukraine #BreakingNews #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN #Crimes""]"
16,862,16_veto_veto power_russia veto_veto right,"['veto', 'veto power', 'russia veto', 'veto right', 'right veto', 'veto security', 'council veto', 'right kill', 'power security', 'power']","['""#Russia can veto this resolution, but cannot veto our voices Russia cannot veto the truth Russia cannot veto our principles Russia cannot veto the #Ukrainian people Russia cannot veto the #UN Charter, &amp; Russia will not veto accountability"" Now the UN GA has to act', 'Can someone please explain why #Russia still has #veto power at the UN?', 'We have to “unRussia the UN”! Right to veto - can not be a right to kill! With the current UN status, Russia is neither a part of the Security Council or a UN member. #RussiaIsATerroristState']"
17,765,17_russiaisaterroriststate russiaisaterroriststate_russiaisaterroriststate_russiaisaterroriststate shame_shame russiaisaterroriststate,"['russiaisaterroriststate russiaisaterroriststate', 'russiaisaterroriststate', 'russiaisaterroriststate shame', 'shame russiaisaterroriststate', 'russiaisaterrorisstate', 'russiaisaterroriststate russiaisanazistate', 'russiaisanazistate', 'russiaisaterroriststate just', 'russiaisaterroriststate did', 'russiaisaterroriststate russiaisaterrorisstate']","['You should take this down #RussiaIsATerroristState', '#russiaisaterroriststate see this', 'Indeed. #russiaIsATerroristState #NoTorussiaInUN']"
18,764,18_lavrov_sergey lavrov_sergey_minister sergey,"['lavrov', 'sergey lavrov', 'sergey', 'minister sergey', 'foreign minister', 'russian foreign', 'sergei lavrov', 'sergei', 'minister', '77th session']","['🤝 Russian Foreign Minister Sergey #Lavrov held talks with President of the International Committee of the Red Cross on the sidelines of the 77th Session of the UN General Assembly. #RussiaICRC #UNGA77', '🇷🇺🇪🇹 Russian Foreign Minister Sergey #Lavrov held talks with Deputy Prime Minister and Foreign Minister of #Ethiopia on the sidelines of the 77th Session of the UN General Assembly. #RussiaEthiopia #UNGA77', '#Lavrov at the UN.']"
19,737,19_yemen_saudi_yemeni_war yemen,"['yemen', 'saudi', 'yemeni', 'war yemen', 'yemenis', 'sanaa', 'yemencantwait', 'saudiarabia', 'yemen ukraine', 'truce']","['The UN envoy for Yemen Agreed with Sanaa Government &amp; Ansarallah-""Houthi\'s"" to reopen all the Yemeni ports. Specially the capital Sanaa Airport. But the Saudi\'s coalitions are refusing to lift the blockade. #Yemen #USA #America #UnitedStates #help', 'Who launched the war on Yemen and who slaughtered this childs in Yemen? Who supported by arms? Who earns money? Yes, it is America! Saudi Arabia is the milking cow Saudi Arabia is the American womb #Yemen 🇾🇪 #YemenCantWait #SaudiArabia #UAE #USA #UN #Ukraine', 'Russians also sold out Yemen at the UN. #ukraine #yemen #russia']"
20,718,20_attacks health_health care_attacks_verified,"['attacks health', 'health care', 'attacks', 'verified', 'facilities', 'health', 'care', 'care ukraine', 'attacks healthcare', 'healthcare']","['. has verified 11 additional attacks on health care in #Ukraine. As of 28 April, 175 attacks on health care have been verified in Ukraine. These attacks caused 73 deaths &amp; 52 injuries. We are outraged that attacks on health care are continuing', '. has verified 27 additional attacks on health care in #Ukraine. As of 7 June, 290 attacks on health care have been verified in Ukraine. These attacks took place between 24 February and 30 May &amp; caused 76 deaths and 59 injuries. Health care should never be a target.', '. has verified 5 additional reports of attacks on health care in #Ukraine. As of 11 April, 108 attacks on health care in Ukraine have been verified, causing 73 deaths and 51 injuries. We are outraged that attacks on health care are continuing.']"
21,714,21_monkeypox_monkeypox outbreak_outbreak_cases,"['monkeypox', 'monkeypox outbreak', 'outbreak', 'cases', 'monkeypoxvirus', 'monkeypox cases', 'virus', 'health emergency', 'news monkeypox', 'monkeypox virus']","['World Health Organization says monkeypox is not a global health emergency right now #CNBC #News #BreakingNews', 'WHO considers declaring monkeypox a global health emergency - The Madras Tribune #MadrasTribune #News #BreakingNews', 'WHO says monkeypox is not yet a health emergency - The Madras Tribune #MadrasTribune #News #BreakingNews']"
22,702,22_guterres_antonio guterres_antonio_general antonio,"['guterres', 'antonio guterres', 'antonio', 'general antonio', 'secretary general', 'secretary', 'antónio guterres', 'antónio', 'general antónio', 'president vladimir']","['UN Secretary General Antonio Guterres Will Meet Putin And Zelensky #Russia #Ukraine #War #UN', 'United Nations Secretary-General Antonio Guterres arrived in #Moscow on Tuesday for his meeting with #Russian President Vladimir #Putin. #UN #Russia', 'UN Secretary-General Antonio Guterres has arrived in #Ukraine']"
23,697,23_crimes ukraine_war crimes_crimes_commission,"['crimes ukraine', 'war crimes', 'crimes', 'commission', 'committed', 'inquiry', 'crimes committed', 'russia committed', 'committed ukraine', 'investigators']","['UN investigators have concluded that #Russia has committed war crimes in #Ukraine, including: ⚠️ bombings of civilian areas, ⚠️ executions, ⚠️ torture, ⚠️ sexual violence.', ""BREAKING — #Russia committed 'war crimes' in Ukraine according to UN investigators #RUS_warcrimes Where is the news?"", ""Russia's war crimes in Ukraine. #UN #Ukraine #Russia""]"
24,676,24_xinjiang_uyghurs_uyghur_rights chief,"['xinjiang', 'uyghurs', 'uyghur', 'rights chief', 'china xinjiang', 'report', 'xinjiang china', 'china human', 'report china', 'humanity xinjiang']","[""UN rights chief to visit China's Xinjiang - #xinjiang #china #china #news"", 'China’s Treatment of Uyghurs in Xinjiang May Amount to Crimes Against Humanity: UN. #Xinjiang #CCP #China', '#Uyghurs : China may have committed crimes against humanity in Xinjiang - UN The #UN has accused #China of ""serious human rights violations.”']"
25,671,25_sanctions_sanctions russia_economic sanctions_russia sanctions,"['sanctions', 'sanctions russia', 'economic sanctions', 'russia sanctions', 'sanctions imposed', 'special financial', 'economic', 'sanctions putin', 'ukraine sanctions', 'sanctions special']","['And remember. There are no sanctions. These are special financial operations. 👌 #PutinWarCrimes #facist #InternationalCriminalCourt #Россия Ukraine', 'And remember. There are no sanctions. These are special financial operations. 👌 #PutinWarCrimes #facist #InternationalCriminalCourt #Россия', 'UN also informed that US has put no sanctions on Russia for the same #RussiaUkraineWar']"
26,634,26_california repmtg_repboebert_repmtg repboebert_repmtg,"['california repmtg', 'repboebert', 'repmtg repboebert', 'repmtg', 'nyse california', 'wsj nyse', 'nyse', 'nato wsj', 'wsj', 'california']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert You are given the ""TRUMP CIRCUS"" today to sidetrack you, so go over there where you belong.', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert Everything below is associated to this search...', ""#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert You don't get it do you?""]"
27,609,27_biden_shamelessly violated_shamelessly_joe biden,"['biden', 'shamelessly violated', 'shamelessly', 'joe biden', 'russia shamelessly', 'joe', 'core tenets', 'tenets', 'violated core', 'ukraine biden']","[""US President Joe Biden says Russia 'shamelessly violated the core tenets' of the UN charter —Al Jazeera English #russia"", '🇺🇸 #Biden: #Russia has shamelessly violated the core tenets of the United Nations Charter.', '🚨 Biden: #Russia has shamelessly violated core tenets of UN Charter']"
28,607,28_nigeria_biafra_biafrans_kanu,"['nigeria', 'biafra', 'biafrans', 'kanu', 'nnamdi', 'nnamdi kanu', 'ipob', 'biafran', 'fulani', 'nigerian']","['We demand the unconditional RELEASE of Our Leader Mazi Nnamdi Kanu, a victim of Extraordinary Rendition by Nigeria &amp; Kenya, a Prisoner of Conscience and #Referendum for Biafra Indigenous People who are victims of Nigeria continuous #genocide. #FreeNnamdiKanu', 'Free Mazi Nnamdi Kanu Now, A call for Referendum is not and can never be a call for #war. One Hopeless Nigeria is a crime again humanity', 'The same way the UN will abandon Nigeria government for violation of human rights, illegal occupation in Biafra, extraordinary rendition of Mazi Nnamdi Kanu #RussiaUkraineWar #FreeMaziNnamdiKanuNow']"
29,583,29_global food_food crisis_food_food security,"['global food', 'food crisis', 'food', 'food security', 'foodcrisis', 'cause global', 'crisis warns', 'global', 'crisis', 'invasion cause']","['#Russia #Ukraine war could cause global food crisis, UN warns', 'Ukraine invasion could cause global food crisis, UN warns - #ukraine #food #kyiv', 'Ukraine invasion could cause global food crisis, UN warns #Ukraine #UN #FoodCrisis']"
30,572,30_istanbul_turkey_grain_grain exports,"['istanbul', 'turkey', 'grain', 'grain exports', 'signed', 'export', 'türkiye', 'exports', 'turkish', 'ukraine turkey']","['#Russia and #Ukraine sign grain export deal with #Turkey and the', '#Ukraine, #Russia sign grain export deal with #UN, #Turkey in Istanbul', '#BREAKING 🚨#UkraineRussia #GrainDeal JUSTIn TurkeyPres Grain export deal Ukraine-Russia-UN-Turkey to be signed at DolmabahcePalace Istanbul 9:30amET / UnitedNations']"
31,559,31_league_league nations_useless_purpose,"['league', 'league nations', 'useless', 'purpose', 'failed', 'toothless', 'organisation', 'doing stop', 'nations', 'uno']","['League of Nations -》United Nations -》 League of Nations Innocent lives at stake ! #geopolitics #leagueofnations #UnitedNations #Ukraine #Russia #UkraineRussiaCrisis', 'Okay… if the failure of The United Nations to stop us getting to this point wasn’t enough, public backlash here will do it. Like the League of Nations before it…. The UN has failed: it fails to uphold its purpose, therefore serves no purpose. #UNGA #UNSC #UnitedNations #Ukraine', 'After the war, the League of Nations was reinvented as The United Nations. The League of Nations was no longer fit for purpose. The UN was born. And here we are again. What will come next? The League of Who Gives A Fuck? #UN #Ukraine']"
32,558,32_video_footage_videos_soldier,"['video', 'footage', 'videos', 'soldier', 'ukrainian soldier', 'execution', 'authentic', 'execution russian', 'showing', 'graphic']","[""Outrage over video showing Ukrainian soldier's apparent execution #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN"", 'GENEVA: The United Nations said Wednesday it believes that a viral video showing the apparent execution of a captured Ukrainian soldier by Russian troops may be authentic. #BangkokPost #World #Ukraine', 'Office of #UN High Commissioner for Human Rights considers the #video with footage of the execution of #Russian prisoners of war by #Ukrainian militants to be authentic — UN Press Secretary']"
33,549,33_kyiv chief_capital_kyiv_kyiv visit,"['kyiv chief', 'capital', 'kyiv', 'kyiv visit', 'visit', 'hit kyiv', 'visit secretary', 'strikes', 'kyiv secretary', 'missiles']","['#Russia bombs Kyiv with cruise missiles during #UN visit to #Ukraine capital', ""#Russian Strikes Hit #Ukraine's Capital Kyiv as UN Chief #AntonioGuterres Visits"", '‼️ Two missile strikes on Kyiv, during the visit of the UN Secretary General to the capital of #Ukraine.']"
34,545,34_ukraine nato_nato_nato ukraine_join nato,"['ukraine nato', 'nato', 'nato ukraine', 'join nato', 'amp nato', 'russia nato', 'usa owns', 'nato nato', 'eu nato', 'defence enshrined']","['NATO · 12h ❌ MYTH: #NATO is at war with Russia in #Ukraine. ✅ FACT: NATO is not at war with Russia and we do not seek confrontation. What NATO does is support Ukraine in its right to self-defence, as enshrined in the Charter', '❌MYTH: #NATO is at war w/ Russia in #Ukraine. ✅FACT: NATO is not at war w/ #Russia &amp; we do not seek confrontation. What NATO does is support Ukraine in its right to self-defence, as enshrined in the Charter. Top 5 🇷🇺 myths about NATO:', '❌MYTH: #NATO is at war w/ Russia in Ukraine. ✅FACT: NATO is not at war w/ #Russia, &amp; we do not seek confrontation w/ Russia. What NATO does is support Ukraine in its right to self-defence, as enshrined in the UN Charter. Top 5 🇷🇺myths about NATO:']"
35,541,35_evacuation_evacuated_steel_azovstal,"['evacuation', 'evacuated', 'steel', 'azovstal', 'civilians azovstal', 'steel plant', 'mariupol', 'azovstal steel', 'evacuate', 'evacuation civilians']","['UN chief welcomes evacuation of civilians from Azovstal steel plant in Mariupol #AntonioGuterres #civilians #mariupol #Moscow #steel', 'UN and Zelenskyi confirm: Operation to evacuate civilians from Azovstal steel plant underway - #mariupol #ukraine #russia #moscow #kyiv #war', '#UN Secretary-General #AntonioGuterres has welcomed the safe #evacuation of civilians from the #Azovstal steel plant in #Mariupol of #Ukraine. ""I am pleased that more than 100 civilians have successfully been evacuated from the Azovstal steel plant in Mariupol,"" he said.']"
36,535,36_trudeau_canada_canadians_pwd,"['trudeau', 'canada', 'canadians', 'pwd', 'cdnpoli', 'canadian', 'wef', 'alberta', 'maid', 'trudeaumustgo']","['#UnitedNations #UN #All #Canada To all members of the United Nations Canada is killing me. Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, no address means I cannot get a passport, beaten for sitting.', '#UnitedNations #UN #All #Canada To members of the United Nations, please! Canada is killing me Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, i cannot get a passport to leave, beaten for sitting inside.', '#UnitedNations #UN #All #Canada To all members of the United Nations Canada is killing me. Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, with no address I cannot get a passport, beaten for sitting.']"
37,527,37_putin_putin putin_hitler_putin hates,"['putin', 'putin putin', 'hitler', 'putin hates', 'hates', 'madman', 'psychopath', 'man putin', 'man', 'stop putin']","['This is #Putin ==', '#PUTIN IS A #FASCIST #NAZI LIKE #HITLER #PUTIN IS A #MASSMURDERER #PUTIN IS A #WARCRIMINAL #PUTIN IS A #THIEF WHO ROBS HIS OWN PEOPLE #PUTIN IS A #COWARD WHO FEARS HIS #MANHOOD IS TOO SMALL #Ukraine', '#PUTIN IS A #FASCIST #NAZI LIKE #HITLER #PUTIN IS A #MASSMURDERER #PUTIN IS A #WARCRIMINAL #PUTIN IS A #THIEF WHO ROBS HIS OWN PEOPLE #PUTIN IS A #COWARD WHO FEARS HIS #MANHOOD IS TOO SMALL']"
38,525,38_refugees fled_million refugees_refugees_fled ukraine,"['refugees fled', 'million refugees', 'refugees', 'fled ukraine', 'fled', 'number refugees', 'refugee', 'million', 'refugee agency', '000 refugees']","['UN: More than 5.5 million refugees have fled Ukraine #Ukraine', 'More than 1.7 million refugees have fled #Ukraine: UN', 'More than 4.5 million refugees have fled #Ukraine: UN']"
39,502,39_nuclear weapons_nuclear conflict_nuclear_nuclear annihilation,"['nuclear weapons', 'nuclear conflict', 'nuclear', 'nuclear annihilation', 'annihilation', 'use nuclear', 'nuclear war', 'prospect nuclear', 'miscalculation away', 'realm possibility']","['The prospect of a nuclear conflict in #Ukraine has become possible - UN Office for the Coordination of Humanitarian Affairs.', '#UKRAINE Breaking UN CHIEF 🚨👇 #NuclearConflict ""Raising the alert level of Russian nuclear forces is a bone-chilling development."" ""The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility."" // UnitedNations', 'chief: Nuclear conflict over Ukraine ""within the realm of possibility"" The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility, We are in #WW3, mark my words.']"
40,495,40_nord_nord stream_nordstream_stream,"['nord', 'nord stream', 'nordstream', 'stream', 'pipelines', 'sabotage', 'pipeline', 'nordstream2', 'nordstreamsabotage', 'gas pipelines']","['WHO BLEW UP THE NORD STREAM 2 PIPELINE?! #UkraineRussiaWar', 'NEW - Russia to request UN Security Council meeting over Nord Stream pipeline damage. #NordStream2', '#Breaking:Russia to request UN Security Council meeting over Nord Stream pipeline damage. #NordStream2 #Nordstream #Nordstream1 #Nordstream1']"
41,493,41_drones_iranian_iranian drones_drones russia,"['drones', 'iranian', 'iranian drones', 'drones russia', 'drones ukraine', 'drone', 'iran', 'drones used', 'use iranian', '2231']","['#RussiaUkraineWar Russia tries to halt a UN probe into use of Iranian-made drones in Ukraine', '#BREAKING: #France: Any #Iranian sale of drones to #Russia would be violation of UN Security Council resolution 2231. We are coordinating with EU partners to see how to respond to potential sale of #Iranian drones to Russia', 'Hello 👇🏻 Iranian drones in used by Russia #Ukraine #UN #UnitedNations']"
42,466,42_mariupol_save mariupol_people mariupol_mariupol ukraine,"['mariupol', 'save mariupol', 'people mariupol', 'mariupol ukraine', 'savemariupol', 'mariupolmassacre', 'ukraine mariupol', 'city', 'savemariupol mariupol', 'mariupol city']","['We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military and their families #SaveMariupol #яАзов', 'We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military and their families. #SaveMariupol #яАзов', '‼️‼️ We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military. #save_mariupol #stoprussia']"
